#Tenor,Date,EUR,EUR-EONIA,EUR-ESTER
1M,2021-07-26,1.000429850994946,1.000429850994946,1.000504406353542
2M,2021-08-24,1.000819517648193,1.000819517648193,1.000961698957654
3M,2021-09-24,1.001236270394522,1.001236270394522,1.001450804817375
4M,2021-10-25,1.001653630861661,1.001653630861661,1.001940583976359
5M,2021-11-24,1.002056720350260,1.002056720350260,1.002413818145840
6M,2021-12-24,1.002458348936468,1.002458348936468,1.002885652025000
7M,2022-01-24,1.002869574672214,1.002869574672214,1.003369485463291
8M,2022-02-24,1.003275384066096,1.003275384066096,1.003847964101599
9M,2022-03-24,1.003639913760109,1.003639913760109,1.004278184142198
10M,2022-04-25,1.004052868345546,1.004052868345546,1.004766274291895
11M,2022-05-24,1.004424860030600,1.004424860030600,1.005206413852369
1Y,2022-06-24,1.004825194351606,1.004825194351606,1.005679658862776
1Y1M,2022-07-25,1.005223792590231,1.005223792590231,1.006151229281164
1Y2M,2022-08-24,1.005609385662174,1.005609385662174,1.006607500284974
1Y3M,2022-09-26,1.006033708878817,1.006033708878817,1.007109637374375
1Y4M,2022-10-24,1.006385033456005,1.006385033456005,1.007527031825962
1Y5M,2022-11-24,1.006773780125661,1.006773780125661,1.007988985520375
1Y6M,2022-12-27,1.007187772236783,1.007187772236783,1.008480975426427
1Y7M,2023-01-24,1.007557551839619,1.007557551839619,1.008917014589636
1Y8M,2023-02-24,1.007967863040526,1.007967863040526,1.009400747216579
1Y9M,2023-03-24,1.008338610323518,1.008338610323518,1.009837866353616
1Y10M,2023-04-24,1.008664099142620,1.008664099142620,1.010236767287119
1Y11M,2023-05-24,1.008966978618922,1.008966978618922,1.010610720845190
2Y,2023-06-26,1.009300251088839,1.009300251088839,1.011022229641046
2Y1M,2023-07-24,1.009585506440596,1.009585506440596,1.011373916641308
2Y2M,2023-08-24,1.009901517038412,1.009901517038412,1.011763525404076
2Y3M,2023-09-25,1.010227825279033,1.010227825279033,1.012165859620409
2Y4M,2023-10-24,1.010523633191093,1.010523633191093,1.012530613197393
2Y5M,2023-11-24,1.010839937432185,1.010839937432185,1.012920667551160
2Y6M,2023-12-27,1.011176757193025,1.011176757193025,1.013336051816829
2Y7M,2024-01-24,1.011462631667456,1.011462631667456,1.013688632653842
2Y8M,2024-02-26,1.011799658914878,1.011799658914878,1.014104331851006
2Y9M,2024-03-25,1.012085709492747,1.012085709492747,1.014457180003898
2Y10M,2024-04-24,1.012392281997059,1.012392281997059,1.014835367834781
2Y11M,2024-05-24,1.012698947365739,1.012698947365739,1.015213696653414
3Y,2024-06-24,1.013015932502434,1.013015932502434,1.015604784603963
3Y1M,2024-07-24,1.013159428007615,1.013159428007615,1.015819612565178
3Y2M,2024-08-26,1.013304460324269,1.013304460324269,1.016043104899917
3Y3M,2024-09-24,1.013431930105004,1.013431930105004,1.016239547846329
3Y4M,2024-10-24,1.013563812269590,1.013563812269590,1.016442804655130
3Y5M,2024-11-25,1.013704505495294,1.013704505495294,1.016659656726846
3Y6M,2024-12-24,1.013832025600163,1.013832025600163,1.016856218878100
3Y7M,2025-01-24,1.013968357934229,1.013968357934229,1.017066379065305
3Y8M,2025-02-24,1.014104708601219,1.014104708601219,1.017276582687661
3Y9M,2025-03-24,1.014227879801960,1.014227879801960,1.017466481364890
3Y10M,2025-04-24,1.014364265367455,1.014364265367455,1.017676767678951
3Y11M,2025-05-26,1.014505069704395,1.014505069704395,1.017893883009393
4Y,2025-06-24,1.014632690517145,1.014632690517145,1.018090683787381
4Y1M,2025-07-24,1.014680915444022,1.014680915444022,1.018210205819507
4Y2M,2025-08-25,1.014725972062214,1.014725972062214,1.018331302934035
4Y3M,2025-09-24,1.014768214458832,1.014768214458832,1.018444844559035
4Y4M,2025-10-24,1.014810458613974,1.014810458613974,1.018558398843668
4Y5M,2025-11-24,1.014854112755126,1.014854112755126,1.018675751572269
4Y6M,2025-12-24,1.014896360486160,1.014896360486160,1.018789331602509
4Y7M,2026-01-26,1.014942835021652,1.014942835021652,1.018914284262649
4Y8M,2026-02-24,1.014983678036984,1.014983678036984,1.019024103797135
4Y9M,2026-03-24,1.015023114232032,1.015023114232032,1.019130147682367
4Y10M,2026-04-24,1.015066777520999,1.015066777520999,1.019247566284743
4Y11M,2026-05-25,1.015110442688232,1.015110442688232,1.019364998415448
5Y,2026-06-24,1.015152701090117,1.015152701090117,1.019478655295143
5Y1M,2026-07-24,1.015085898583541,1.015085898583541,1.019482789769716
5Y2M,2026-08-24,1.015008825093061,1.015008825093061,1.019478977778268
5Y3M,2026-09-24,1.014931757454620,1.014931757454620,1.019475165801072
