#Tenor,Date,EUR,EUR-EONIA,EUR-ESTER
5Y4M,2026-10-26,1.014852209901104,1.014852209901104,1.019471230871822
5Y5M,2026-11-24,1.014780125316102,1.014780125316102,1.019467664855307
5Y6M,2026-12-24,1.014705560443772,1.014705560443772,1.019463975885832
5Y7M,2027-01-25,1.014626030618953,1.014626030618953,1.019460040999771
5Y8M,2027-02-24,1.014551477069323,1.014551477069323,1.019456352057883
5Y9M,2027-03-24,1.014481898698815,1.014481898698815,1.019452909057498
5Y10M,2027-04-26,1.014399901745194,1.014399901745194,1.019448851250543
5Y11M,2027-05-24,1.014330333769786,1.014330333769786,1.019445408275490
6Y,2027-06-24,1.014253317647867,1.014253317647867,1.019441596423816
6Y1M,2027-07-26,1.014062569030598,1.014062569030598,1.019325829946345
6Y2M,2027-08-24,1.013875333979627,1.013875333979627,1.019206452110129
6Y3M,2027-09-24,1.013675224395672,1.013675224395672,1.019078856780071
6Y4M,2027-10-25,1.013475154307544,1.013475154307544,1.018951277423782
6Y5M,2027-11-24,1.013281575691173,1.013281575691173,1.018827828737871
6Y6M,2027-12-24,1.013088034049247,1.013088034049247,1.018704395008101
6Y7M,2028-01-24,1.012888079855463,1.012888079855463,1.018576862531002
6Y8M,2028-02-24,1.012688165126837,1.012688165126837,1.018449346019804
6Y9M,2028-03-24,1.012501183843821,1.012501183843821,1.018330070832566
6Y10M,2028-04-24,1.012301345477246,1.012301345477246,1.018202585217432
6Y11M,2028-05-24,1.012107991063992,1.012107991063992,1.018079227237594
7Y,2028-06-26,1.011895343865164,1.011895343865164,1.017943550721352
7Y1M,2028-07-24,1.011593378703086,1.011593378703086,1.017706138534390
7Y2M,2028-08-24,1.011254182092353,1.011254182092353,1.017438340293239
7Y3M,2028-09-25,1.010904162953316,1.010904162953316,1.017161977313532
7Y4M,2028-10-24,1.010587062755334,1.010587062755334,1.016911588204695
7Y5M,2028-11-24,1.010248203571640,1.010248203571640,1.016643999040775
7Y6M,2028-12-27,1.009887607359049,1.009887607359049,1.016359223433270
7Y7M,2029-01-24,1.009581747873630,1.009581747873630,1.016117658201637
7Y8M,2029-02-26,1.009221389544560,1.009221389544560,1.015833030029255
7Y9M,2029-03-26,1.008915731833118,1.008915731833118,1.015591589861703
7Y10M,2029-04-24,1.008599255365777,1.008599255365777,1.015341587326414
7Y11M,2029-05-24,1.008271970382490,1.008271970382490,1.015083028775378
8Y,2029-06-25,1.007922983457898,1.007922983457898,1.014807305560150
8Y1M,2029-07-24,1.007526830246410,1.007526830246410,1.014476956163929
8Y2M,2029-08-24,1.007100475977542,1.007100475977542,1.014120869365177
8Y3M,2029-09-24,1.006674302128646,1.006674302128646,1.013764907554783
8Y4M,2029-10-24,1.006262047535195,1.006262047535195,1.013420547347674
8Y5M,2029-11-26,1.005808762474977,1.005808762474977,1.013041886223086
8Y6M,2029-12-24,1.005424317098927,1.005424317098927,1.012720708951940
8Y7M,2030-01-24,1.004998852548753,1.004998852548753,1.012365238605285
8Y8M,2030-02-25,1.004559852183738,1.004559852183738,1.011998432347012
8Y9M,2030-03-25,1.004175884172575,1.004175884172575,1.011677585895029
8Y10M,2030-04-24,1.003764652734555,1.003764652734555,1.011333934718696
8Y11M,2030-05-24,1.003353589704577,1.003353589704577,1.010990400275336
9Y,2030-06-24,1.002929001422348,1.002929001422348,1.010635537276215
9Y1M,2030-07-24,1.002426675214351,1.002426675214351,1.010199924324803
9Y2M,2030-08-26,1.001867213725680,1.001867213725680,1.009713717356350
9Y3M,2030-09-24,1.001375823519014,1.001375823519014,1.009286637751729
9Y4M,2030-10-24,1.000867742444892,1.000867742444892,1.008845021356510
9Y5M,2030-11-25,1.000326073439699,1.000326073439699,1.008374176849243
9Y6M,2030-12-24,0.999835439122870,0.999835439122870,1.007947663831388
9Y7M,2031-01-24,0.999311234063610,0.999311234063610,1.007491935614699
9Y8M,2031-02-24,0.998787303840521,0.998787303840521,1.007036413448596
9Y9M,2031-03-24,0.998314312649941,0.998314312649941,1.006625151100142
9Y10M,2031-04-24,0.997790905104114,0.997790905104114,1.006170020837484
9Y11M,2031-05-26,0.997250901281394,0.997250901281394,1.005700424796804
10Y,2031-06-24,0.996761775257741,0.996761775257741,1.005275042698486
10Y1M,2031-07-24,0.996177861709950,0.996177861709950,1.004756334842564
10Y2M,2031-08-25,0.995549445508501,0.995549445508501,1.004197337653586
10Y3M,2031-09-24,0.994960665356168,0.994960665356168,1.003673560242133
10Y4M,2031-10-24,0.994372233415638,0.994372233415638,1.003150056026760
10Y5M,2031-11-24,0.993764552674185,0.993764552674185,1.002609388527173
10Y6M,2031-12-24,0.993176828129365,0.993176828129365,1.002086439371135
10Y7M,2032-01-26,0.992530732585716,0.992530732585716,1.001511510336520
10Y8M,2032-02-24,0.991963298637971,0.991963298637971,1.001006541980732
10Y9M,2032-03-24,0.991396189094574,0.991396189094574,1.000501828233142
10Y10M,2032-04-26,0.990751251917605,0.990751251917605,0.999927808340608
10Y11M,2032-05-24,0.990204361521952,0.990204361521952,0.999441019431808
11Y,2032-06-24,0.989599227850295,0.989599227850295,0.998902350990617
11Y1M,2032-07-26,0.988902265589881,0.988902265589881,0.998273225753847
11Y2M,2032-08-24,0.988261662398775,0.988261662398775,0.997693928360318
11Y3M,2032-09-24,0.987577338563777,0.987577338563777,0.997075051158633
11Y4M,2032-10-25,0.986893488590235,0.986893488590235,0.996456557851226
11Y5M,2032-11-24,0.986232149163420,0.986232149163420,0.995858381235022
11Y6M,2032-12-24,0.985571252914965,0.985571252914965,0.995260563706487
11Y7M,2033-01-24,0.984888792059586,0.984888792059586,0.994643195939574
11Y8M,2033-02-24,0.984206803775640,0.984206803775640,0.994026211130626
11Y9M,2033-03-24,0.983591220270914,0.983591220270914,0.993469263491937
11Y10M,2033-04-25,0.982888167709193,0.982888167709193,0.992833134002614
11Y11M,2033-05-24,0.982251460403888,0.982251460403888,0.992256993491280
12Y,2033-06-24,0.981571298345709,0.981571298345709,0.991641488862026
12Y1M,2033-07-25,0.980839253476401,0.980839253476401,0.990973471314932
12Y2M,2033-08-24,0.980123842506182,0.980123842506182,0.990319852895122
12Y3M,2033-09-26,0.979337493116161,0.979337493116161,0.989601370552643
12Y4M,2033-10-24,0.978670782336720,0.978670782336720,0.988992157963365
12Y5M,2033-11-24,0.977933167678646,0.977933167678646,0.988318110053842
12Y6M,2033-12-27,0.977148575858169,0.977148575858169,0.987601079986486
12Y7M,2034-01-24,0.976483355244009,0.976483355244009,0.986993098804349
12Y8M,2034-02-24,0.975747389228478,0.975747389228478,0.986320413354211
12Y9M,2034-03-24,0.975083122510433,0.975083122510433,0.985713220568552
12Y10M,2034-04-24,0.974348211836706,0.974348211836706,0.985041407419820
12Y11M,2034-05-24,0.973637535345028,0.973637535345028,0.984391701623649
13Y,2034-06-26,0.972856389892977,0.972856389892977,0.983677520186579
13Y1M,2034-07-24,0.972194091301788,0.972194091301788,0.983071954403305
13Y2M,2034-08-24,0.971461358062807,0.971461358062807,0.982401941410340
13Y3M,2034-09-25,0.970705567526254,0.970705567526254,0.981710794072512
13Y4M,2034-10-24,0.970021140261388,0.970021140261388,0.981084861807476
13Y5M,2034-11-24,0.969290044754491,0.969290044754491,0.980416203118082
13Y6M,2034-12-27,0.968512387276537,0.968512387276537,0.979704905926411
13Y7M,2035-01-24,0.967853045983920,0.967853045983920,0.979101785740618
13Y8M,2035-02-26,0.967076541404261,0.967076541404261,0.978391442165774
13Y9M,2035-03-27,0.966394672901295,0.966394672901295,0.977767626297411
13Y10M,2035-04-24,0.965736773300650,0.965736773300650,0.977165698728337
13Y11M,2035-05-24,0.965032377876513,0.965032377876513,0.976521187529618
14Y,2035-06-25,0.964281589044190,0.964281589044190,0.975834177467194
14Y1M,2035-07-24,0.963601691212521,0.963601691212521,0.975211992093773
14Y2M,2035-08-24,0.962875433981989,0.962875433981989,0.974547336060538
14Y3M,2035-09-24,0.962149724124473,0.962149724124473,0.973883133023828
14Y4M,2035-10-24,0.961447945045800,0.961447945045800,0.973240786913753
14Y5M,2035-11-26,0.960676579252687,0.960676579252687,0.972534695524861
14Y6M,2035-12-24,0.960022572400660,0.960022572400660,0.971935989421925
14Y7M,2036-01-24,0.959299012717194,0.959299012717194,0.971273566149319
14Y8M,2036-02-25,0.958552684405194,0.958552684405194,0.970590247935815
14Y9M,2036-03-24,0.957900123452665,0.957900123452665,0.969992738862295
14Y10M,2036-04-24,0.957178163438346,0.957178163438346,0.969331640012706
14Y11M,2036-05-26,0.956433485133113,0.956433485133113,0.968649687998742
15Y,2036-06-24,0.955759120860201,0.955759120860201,0.968032083407964
15Y1M,2036-07-24,0.955106766854525,0.955106766854525,0.967438938322667
15Y2M,2036-08-25,0.954414821537138,0.954414821537138,0.966810103262625
15Y3M,2036-09-24,0.953766578084815,0.953766578084815,0.966220941620195
15Y4M,2036-10-24,0.953118774922778,0.953118774922778,0.965632139005293
15Y5M,2036-11-24,0.952449840553755,0.952449840553755,0.965024086582524
15Y6M,2036-12-24,0.951802931726616,0.951802931726616,0.964436013315688
15Y7M,2037-01-26,0.951091839493562,0.951091839493562,0.963789546624509
15Y8M,2037-02-24,0.950467378839396,0.950467378839396,0.963221797268110
15Y9M,2037-03-24,0.949864840354478,0.949864840354478,0.962673942827496
15Y10M,2037-04-24,0.949198189718318,0.949198189718318,0.962067753162064
15Y11M,2037-05-25,0.948532006962482,0.948532006962482,0.961461945210414
16Y,2037-06-24,0.947887759148056,0.947887759148056,0.960876042666717
16Y1M,2037-07-24,0.947243948910056,0.947243948910056,0.960290497164494
16Y2M,2037-08-24,0.946579137713439,0.946579137713439,0.959685808339653
16Y3M,2037-09-24,0.945914793106160,0.945914793106160,0.959081500283524
16Y4M,2037-10-26,0.945229507089506,0.945229507089506,0.958458097556050
16Y5M,2037-11-24,0.944608895481011,0.944608895481011,0.957893488850831
16Y6M,2037-12-24,0.943967312264067,0.943967312264067,0.957309760878544
16Y7M,2038-01-25,0.943283437137059,0.943283437137059,0.956687509781225
16Y8M,2038-02-24,0.942642754178235,0.942642754178235,0.956104516717072
16Y9M,2038-03-24,0.942045176029247,0.942045176029247,0.955560710392651
16Y10M,2038-04-27,0.941320054688671,0.941320054688671,0.954900789946886
16Y11M,2038-05-24,0.940744620665142,0.940744620665142,0.954377060152037
17Y,2038-06-24,0.940084370939932,0.940084370939932,0.953776094980912
17Y1M,2038-07-26,0.939403308883840,0.939403308883840,0.953156140765514
17Y2M,2038-08-24,0.938786522596299,0.938786522596299,0.952594655338159
17Y3M,2038-09-24,0.938127647137476,0.938127647137476,0.951994812536021
17Y4M,2038-10-25,0.937469234102069,0.937469234102069,0.951395347451084
17Y5M,2038-11-24,0.936832500179830,0.936832500179830,0.950815579362591
17Y6M,2038-12-24,0.936196198730544,0.936196198730544,0.950236164577314
17Y7M,2039-01-24,0.935539141257797,0.935539141257797,0.949637806901823
17Y8M,2039-02-24,0.934882544932534,0.934882544932534,0.949039826008359
17Y9M,2039-03-24,0.934289886284020,0.934289886284020,0.948500037888454
17Y10M,2039-04-25,0.933613022152877,0.933613022152877,0.947883513108804
17Y11M,2039-05-24,0.933000037607806,0.933000037607806,0.947325133682099
18Y,2039-06-24,0.932345223320357,0.932345223320357,0.946728609064267
18Y1M,2039-07-25,0.931690868606043,0.931690868606043,0.946132460074198
18Y2M,2039-08-24,0.931058059379348,0.931058059379348,0.945555899121584
18Y3M,2039-09-26,0.930362465646151,0.930362465646151,0.944922087873363
18Y4M,2039-10-24,0.929772672452871,0.929772672452871,0.944384641811257
18Y5M,2039-11-24,0.929120123250877,0.929120123250877,0.943789968802474
18Y6M,2039-12-27,0.928425977350297,0.928425977350297,0.943157341266925
18Y7M,2040-01-24,0.927837411772767,0.927837411772767,0.942620898944838
18Y8M,2040-02-24,0.927186220809028,0.927186220809028,0.942027336553732
18Y9M,2040-03-26,0.926535486875438,0.926535486875438,0.941434147925093
18Y10M,2040-04-24,0.925927149244710,0.925927149244710,0.940879567691837
18Y11M,2040-05-24,0.925298254765830,0.925298254765830,0.940306207784282
19Y,2040-06-25,0.924627904793669,0.924627904793669,0.939695008992083
19Y1M,2040-07-24,0.924020819628691,0.924020819628691,0.939141453251169
19Y2M,2040-08-24,0.923372307291924,0.923372307291924,0.938550081844910
19Y3M,2040-09-24,0.922724250105346,0.922724250105346,0.937959082821468
19Y4M,2040-10-24,0.922097531052024,0.922097531052024,0.937387502619831
19Y5M,2040-11-26,0.921408631732015,0.921408631732015,0.936759166692093
19Y6M,2040-12-24,0.920824514724621,0.920824514724621,0.936226363478218
19Y7M,2041-01-24,0.920178245674063,0.920178245674063,0.935636827685468
19Y8M,2041-02-25,0.919511604990161,0.919511604990161,0.935028663989128
19Y9M,2041-03-25,0.918928690582292,0.918928690582292,0.934496845038268
19Y10M,2041-04-24,0.918304549492507,0.918304549492507,0.933927374679807
19Y11M,2041-05-24,0.917680832322558,0.917680832322558,0.933358251349259
20Y,2041-06-24,0.917036769625773,0.917036769625773,0.932770521588494
